Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail,Predicted_Price,Price_Diff_Percent
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=49&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=51&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=54&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=79&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=87&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=90&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990",45846.715,23.94353879426871
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311063683556?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=66&postcode=wr117jh&fromsra,Finance available,33995.0,5.9 Volante Seq 2dr (EU4),Great Price,2006.0,Convertible,47590.0,5.9L,450BHP,Automatic,Dealer locationLarbert,6.0,"Introducing the Aston Martin DB9 5.9 Volante 2dr Petrol Seq (EU4), a true masterpiece that combines power, elegance, and sophistication. If you're looking for a convertible that will turn heads wherever you go, this is the car for you., Step inside the DB9 and you'll be greeted by a luxurious…",45880.66,34.96296514193264
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=7&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312064596075?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=22&postcode=wr117jh&fromsra,Unknown,39995.0,5.9 Seq 2dr,"1 owner, 16 Services",2006.0,Coupe,7200.0,5.9L,450BHP,Automatic,Dealer locationLoughborough,1.0,"A time warp DB9 with only 1 owner and 16 Aston Martin Main Dealer Services. , Last serviced on 30/05/2023 at 6,945 miles, Full dealership history, Full leather interior, Metallic Toro, 1 owner, £39,995",45846.715,14.631116389548685
