Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202312275074238?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,26980.0,5.9 Seq 2dr,FULL ASTON MARTIN SERV HISTORY,2005.0,Coupe,39981.0,5.9L,450BHP,Automatic,Dealer locationSheffield,2.0,"FINISHED IN THE BEST COLOUR COMBINATION OF SILVER  WITH FULL RED LEATHER INTERIOR THIS CAR NEEDS TO BE VIEWED. Full WITH THE GREAT DRIVE, FANTASTIC LOOKS AND AMAZING SPECIFICATION IT CAN ONLY BE DESCRIBED AS OUTSTANDING VALUE FOR MONEY. WE WILL ALSO NOT BE BEATEN ON PRICE SO PLEASE CALL FOR MORE…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202312275070481?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=2&postcode=wr117jh&fromsra,Finance available,44950.0,4.7 V8 Euro 6 2dr,A STUNNING LOW MILEAGE CAR,2013.0,Coupe,20200.0,4.7L,426PS,Manual,Dealer locationMarlow,3.0,"2013/63 ASTON MARTIN 4.7 V8 VANTAGE MANUAL IN STRATUS WHITE WITH ONLY 20,200 MILES FROM NEW AND FULL MAIN DEALER SERVICE HISTORY.  IMMACULATE  CERAMIC COATED METALLIC WHITE PAINTWORK WITH UNMARKED DIAMOND TURNED SILVER ALLOYS WITH NEW MICHELIN TYRES. UNMARKED FULL BLACK LEATHER WITH SILVER…"
Aston Martin DB7,https://www.autotrader.co.uk/car-details/202401185683532?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Private seller,19000.0,5.9 Vantage 2dr,fantastically well kept DB7,2000.0,Coupe,60307.0,5.9L,420BHP,Automatic,Unknown,5.0,"It was my late fathers car. It has been looked after extremely well and kept overnight in a garage under a cover. Next MOT due 25/01/2024, Green, 5+ owners, £19,000"
Aston Martin Cygnet,https://www.autotrader.co.uk/car-details/202304256664727?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Finance available,32950.0,1.3 VVT CVT Euro 5 3dr,Low mileage investment rare.,2012.0,Hatchback,20494.0,1.3L,98PS,Automatic,Unknown,2.0,"Lovely condition. All alloys just had a total refurbishment. Full service history. MOT till April 2024. Viewing in Milton Keynes. 30 pound per year road tax and I pay 260 a year insurance. 50mpg. Next MOT due 26/04/2024, Silver, 2 owners, £32,950"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311184078313?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Approved used,34900.0,5.9 Seq 2dr,Great Specification.,2008.0,Coupe,50800.0,5.9L,450BHP,Automatic,Dealer locationBrentwood,,"This Stunning DB9 Coupe is finished in Grigio Titanio with Caspian Blue interior and contrast Falcon Grey stitching. 12 months Premium Aston Martin Warranty Included. DB9 with a very rare colour combination. Extensive options include: Grey Brake Callipers, Walnut Veneer Facia Trim, Optional Front…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202311204133348?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Unknown,36990.0,5.9 Seq 2dr,Stunning Car/Low Miles,2007.0,Coupe,11385.0,5.9L,450BHP,Automatic,Dealer locationKnaresborough,2.0,"Excellent bodywork, Beige Full leather interior - Excellent Condition, Tyre condition Excellent, Metallic Meteorite Silver, 2 owners, PLEASE BE AWARE THAT NOT ALL CARS ARE KEPT ON SITE SO KINDLY CALL AHEAD TO ARRANGE AN APPOINTMENT., £36,990"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202311234235601?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Finance available,44948.0,4.7 V8 Sportshift Euro 5 2dr,"LOW MILEAGE, LARINI EXHAUST,",2012.0,Coupe,12000.0,4.7L,426PS,Automatic,Dealer locationChelmsford,,"Upgraded Larini Exhaust System, Front End PPF, Facelift Front Splitter, Rear Diffuser, Upswept Side Sills, Integrated Bootlid Spoiler, Sat Nav, Switchable Sport Mode, Climate Control, Cruise Control, Contrasting Silver Stitching, Park Distance Control, Multi Function Steering Wheel and 20"" 10 Spoke…"
Aston Martin DB9,https://www.autotrader.co.uk/car-details/202211021309992?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Finance available,29990.0,5.9 Volante Seq 2dr (EU4),VOLANTE,2005.0,Convertible,44500.0,5.9L,450BHP,Automatic,Dealer locationMalvern,,"PRIVATE SALE, SELLING ON BEHALF OF MY FATHER. LOW MILEAGE, ONLY 44290 MILES FROM NEW, SERVICE HISTORY, STAMPED SERVICE BOOK, 12 DEALER STAMPS, JUST SERVICED 28TH OCTOBER 2022 AT A COST OF £3600.00, OLD MOT CERTIFICATES. MOT UNTIL NEXT YEAR,LOTS OF PAPERWORK, 3 PREVIOUS OWNERS. GREAT CAR, WANTS FOR…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202306309122194?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Finance available,69500.0,4.0 V8 Auto Euro 6 2dr,Px Welcome Finance Available,2018.0,Coupe,29500.0,4.0L,502BHP,Automatic,Dealer locationLeighton Buzzard,2.0,"2018 68 Reg ASTON MARTIN VANTAGE 4.0 V8 3d 503 BHP

29500 Miles with FAMSH 
Full black leather interior 
Electric seats 
Heated seats 
Air-con climate control 
Cruise control 
Sat-nav 
Reverse camera 
Alloy wheels 
Stunning Car Px Welcome 
Finance Available 
Please call anytime 07739836672…"
Aston Martin Vantage,https://www.autotrader.co.uk/car-details/202209179857815?sort=relevance&advertising-location=at_cars&make=Aston%20Martin&page=3&postcode=wr117jh&fromsra,Finance available,27480.0,4.3 V8 Roadster Euro 4 2dr,12 MONTHS FREE WARRANTY,2007.0,Convertible,74385.0,4.3L,385PS,Manual,Dealer locationAlfreton,,"12 MONTHS FREE WARRANTY - Very Detailed Aston Martin Main Dealer Service History Including The Benefit Of Having a New Clutch, Flywheel And Oxygen Sensors Fitted By Marques Specialist McGurk. Finished In Jet Black Metallic with Black Leather & Red Stitching, 19'' Graphite 7-Spoke Alloy Wheels with…"
