Make,Title_URL,Sale_Type,Price,Model,Additional_Comments,Year,Car_Type,Mileage,Engine_Size,Engine_Type,Transmission,Dealership_Location,Prior_Owners,Information/Detail
Bentley,https://www.autotrader.co.uk/car-details/202309272424198?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,174950.0,Bentayga,MULLINER +SPORTS EXHAUST,2022.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202402277009952?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,149999.0,Continental,Full serv,2022.0,Coupe,,4.0L,550PS,Automatic,Petrol,,4.0 V8 GT Mulliner Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202312014463716?sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,110950.0,Continental,"Mulliner, Touring, City Spec!",2019.0,Coupe,,6.0L,635PS,Automatic,Petrol,,6.0 W12 GT Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202311174054986?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Bentley&page=92&postcode=WR3%207AE&fromsra,,74950.0,Bentayga,STUNNING SPECIFICATION,2018.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202307310271957?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,189850.0,Bentayga,Mulliner-NAIM-Blackline,2023.0,SUV,,3.0L,456BHP,Automatic,Petrol Plug-in Hybrid,,3.0 TFSi V6 17.3kWh Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202309131936016?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,80000.0,Continental,,2017.0,Convertible,,4.0L,528PS,Automatic,Petrol,,4.0 V8 GTC S Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202309182107903?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,159950.0,Bentayga,MULLINER/TOURING SPEC-PANROOF,2022.0,SUV,,3.0L,449PS,Automatic,Petrol Plug-in Hybrid,,3.0 TFSi V6 17.3kWh Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202312225012277?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,87995.0,Bentayga,"Carbon Kit Mulliner 22"" Wheels",2019.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202312084648388?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,159995.0,Bentayga,Rear Ent|Naim Audio|Stunning,2022.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 S Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401245869210?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,84950.0,Continental,,2002.0,Coupe,,6.8L,420BHP,Automatic,Petrol,,6.8 Mulliner R 2dr
Bentley,https://www.autotrader.co.uk/car-details/202306228819914?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,85000.0,Bentayga,KAHN EDITION/ 7 SEAT SPEC/MATT,2017.0,SUV,,4.0L,430BHP,Automatic,Diesel,,4.0d V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202311234231127?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,55599.0,Continental,STUNNING LOW MILEAGE CAR,2013.0,Convertible,,4.0L,507PS,Automatic,Petrol,,4.0 V8 GTC Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202309021478411?sort=relevance&twcs=true&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,44995.0,Continental,Low Mileage Mulliner Spec,2010.0,Convertible,,6.0L,560PS,Automatic,Petrol,,6.0 W12 GTC Auto 4WD Euro 4 2dr
Bentley,https://www.autotrader.co.uk/car-details/202310183120615?sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,144950.0,Bentayga,"Mulliner Spec, Naim, Tow Bar",2021.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 S Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202311174054986?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Bentley&page=93&postcode=WR3%207AE&fromsra,,74950.0,Bentayga,STUNNING SPECIFICATION,2018.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202402106440096?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,17995.0,Continental,Excellent continental express,2005.0,Coupe,,6.0L,552BHP,Automatic,Petrol,,6.0 GT 2dr
Bentley,https://www.autotrader.co.uk/car-details/202312134779911?sort=relevance&twcs=true&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,159995.0,Bentayga,"Blackline, Naim, Rear Screens",2022.0,SUV,,3.0L,462PS,Automatic,Petrol Plug-in Hybrid,,3.0 TFSi V6 17.3kWh Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202403047180819?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,100000.0,Azure,AZURE . WHEEL OPTION,2006.0,Convertible,,6.8L,450BHP,Automatic,Petrol,,6.8 Mulliner 2dr
Bentley,https://www.autotrader.co.uk/car-details/202403017119267?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,98850.0,Bentayga,,2018.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202312064591048?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,184995.0,Continental,Dynamic+Tour+City Spec +Carbon,2021.0,Convertible,,6.0L,659PS,Automatic,Petrol,,6.0 W12 GTC Speed Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202402287022868?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,98980.0,Bentayga,VATQ|7 SEAT|TOUR|CITY|DYN RIDE,2020.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202305307934991?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,145000.0,Bentayga,Beautiful Car,2022.0,SUV,,Automatic,Petrol Plug-in Hybrid,1 owner,Full service history,,3.0 TFSi V6 17.3kWh SUV 5dr Petrol Plug-in Hybrid Auto 4WD Euro 6 (s/s) (462 ps)
Bentley,https://www.autotrader.co.uk/car-details/202309021481367?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,64500.0,Continental,,2014.0,Convertible,,4.0L,507PS,Automatic,Petrol,,4.0 V8 GTC Auto 4WD Euro 5 2dr
Bentley,https://www.autotrader.co.uk/car-details/202403017094882?sort=relevance&twcs=true&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,174995.0,Continental,MULLINER|CARBON|B&O|BLACKLINE,2022.0,Coupe,,4.0L,550PS,Automatic,Petrol,,4.0 V8 GT Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202402026164327?sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,165000.0,Continental,One of very few made,1989.0,Convertible,,6.8L,Automatic,Petrol,,,6.8 2dr
Bentley,https://www.autotrader.co.uk/car-details/202310213203357?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Bentley&page=94&postcode=WR3%207AE&fromsra,,64950.0,Bentayga,STUNNING SPEC AND COLOUR,2016.0,SUV,,6.0L,608PS,Automatic,Petrol,,6.0 W12 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202402297075848?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,79480.0,Bentayga,"FSH, Naim, Carbon, Akrapovic",2017.0,SUV,,6.0L,608PS,Automatic,Petrol,,6.0 W12 Mulliner Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401245855930?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,47770.0,Continental,,2011.0,Convertible,,6.0L,575PS,Automatic,Petrol,,6.0 W12 GTC Auto 4WD Euro 5 2dr
Bentley,https://www.autotrader.co.uk/car-details/202311254282180?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,57000.0,Continental,Mulliner Apple Green,2017.0,Coupe,,4.0L,528PS,Automatic,Petrol,,4.0 V8 GT S Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202401316098137?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,169895.0,Bentayga,TOURING/NAIM/TV/BLACKLINE/MDS,2022.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 S Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401165608086?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,134950.0,Bentayga,TWO YEAR BENTLEY WARRANTY,2021.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 First Edition Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202309162058812?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,162895.0,Bentayga,VAT Q | NAIM | CARBON KIT,2021.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 S Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202307260070442?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,174950.0,Bentayga,"REAR ENT, COOLER, NAIM",2023.0,SUV,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 Azure Auto 4WD Euro 6 (s/s) 5dr EWB
Bentley,https://www.autotrader.co.uk/car-details/202402246905519?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,85500.0,Mulsanne,,2017.0,Saloon,,6.75L,512PS,Automatic,Petrol,,6.75 V8 Auto Euro 6 4dr
Bentley,https://www.autotrader.co.uk/car-details/202307310266494?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,219850.0,Continental,Mulliner Special Request Items,2022.0,Convertible,942.0,4.0L,550PS,Automatic,Petrol,,4.0 V8 GTC S Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202108176323730?sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,36390.0,Continental,++SATNAV++QUILTED LTHR++W12++,2013.0,Coupe,,6.0L,625PS,Automatic,Petrol,,6.0 W12 GT Speed Auto 4WD Euro 5 2dr
Bentley,https://www.autotrader.co.uk/car-details/202310163045372?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&make=Bentley&page=95&postcode=WR3%207AE&fromsra,,79990.0,Bentayga,CARBON+PAN ROOF+360'VIEW+PRIV!,2018.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Auto 4WD Euro 6 (s/s) 5dr
Bentley,https://www.autotrader.co.uk/car-details/202401185678222?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,19995.0,Continental,Stage 1 tune + ULEZ COMP,2006.0,Coupe,,6.0L,552BHP,Automatic,Petrol,,6.0 Mulliner GT 2dr
Bentley,https://www.autotrader.co.uk/car-details/202402236872732?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,179850.0,Continental,,2022.0,Convertible,,4.0L,542BHP,Automatic,Petrol,,4.0 V8 GTC Auto 4WD Euro 6 (s/s) 2dr
Bentley,https://www.autotrader.co.uk/car-details/202403057222834?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,53737.0,Continental,Mulliner+Rear Cam+Heated Seats,2016.0,Coupe,,4.0L,521BHP,Automatic,Petrol,,4.0 V8 GT S Auto 4WD Euro 6 2dr
Bentley,https://www.autotrader.co.uk/car-details/202308140760235?sort=relevance&advertising-location=at_cars&make=Bentley&page=96&postcode=WR3%207AE&fromsra,,179999.0,Bentayga,FIRST EDITION|AIRLINE | VAT Q,2023.0,SUV,,4.0L,550PS,Automatic,Petrol,,4.0 V8 Azure Auto 4WD Euro 6 (s/s) 5dr EWB
